epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,3305.63,1.15123,0.93022,1.26545,0.84435,0.70513,0.70116,0.3613,1.41682,1.07901,1.44574,0.0001585,0.0001585,0.0001585
87,3342.46,1.12871,0.88812,1.24151,0.8232,0.7094,0.69609,0.36204,1.41936,1.05448,1.4408,0.0001486,0.0001486,0.0001486
88,3379.89,1.10777,0.89368,1.2338,0.83285,0.7094,0.70223,0.36827,1.39134,1.01313,1.41249,0.0001387,0.0001387,0.0001387
89,3419.37,1.13161,0.90353,1.24445,0.8347,0.71368,0.70567,0.3652,1.4093,1.01721,1.42914,0.0001288,0.0001288,0.0001288
90,3457.58,1.12934,0.88397,1.22157,0.82544,0.70513,0.70852,0.36968,1.40501,1.01685,1.43397,0.0001189,0.0001189,0.0001189
91,3495.28,1.15193,0.94111,1.29512,0.8025,0.69658,0.68354,0.36251,1.41173,1.12115,1.42372,0.000109,0.000109,0.000109
92,3531.23,1.09274,0.89881,1.22947,0.7885,0.7094,0.68202,0.36239,1.39122,1.06376,1.40475,9.91e-05,9.91e-05,9.91e-05
93,3567.71,1.08642,0.88108,1.24107,0.83537,0.69391,0.69197,0.36717,1.39517,1.07916,1.4169,8.92e-05,8.92e-05,8.92e-05
94,3603.01,1.08026,0.84586,1.24568,0.79534,0.71414,0.69207,0.36521,1.40426,1.11687,1.41268,7.93e-05,7.93e-05,7.93e-05
95,3639.4,1.08697,0.8731,1.2431,0.80024,0.7019,0.68056,0.36072,1.39177,1.10429,1.41003,6.94e-05,6.94e-05,6.94e-05
96,3674.04,1.07136,0.84629,1.22686,0.82463,0.71368,0.69024,0.35943,1.399,1.10581,1.41821,5.95e-05,5.95e-05,5.95e-05
97,3712,1.07661,0.87833,1.22807,0.81403,0.69231,0.68156,0.35432,1.4048,1.11715,1.41958,4.96e-05,4.96e-05,4.96e-05
98,3748.34,1.08002,0.85079,1.24684,0.81311,0.70656,0.68739,0.36118,1.40121,1.10823,1.42188,3.97e-05,3.97e-05,3.97e-05
99,3783.44,1.05832,0.85444,1.21359,0.82641,0.71205,0.67939,0.3641,1.39188,1.11392,1.41247,2.98e-05,2.98e-05,2.98e-05
100,3820.16,1.06181,0.81944,1.22563,0.83791,0.70691,0.68873,0.36032,1.40424,1.11447,1.42156,1.99e-05,1.99e-05,1.99e-05
